"Table 2.7. Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,        Private fixed assets,2.9,3.4,3.6,3.5,4.1,4.7,5,4.2,4.9,5.2,5,5.7,5.9,5,5,6.6,7.7,8.7,10.6,12.4,10.1,11.8,15.5,14.6,16.9,17,16.2,16,15.8,12.2,8.2,4.8,4.2,5.3,6.6,8.5,10.6,9,10.4,12.4,15,10.4,8.7,10.6,14.3,26.9,37.4,44.7,42,50.9,53.1,54,58.6,59.8,68.4,73.4,75.5,71.5,81.3,82.8,83.3,90.7,97.3,107.1,120.1,129.8,132,146.9,163.5,166.4,186.6,217.3,249.5,259.2,262.2,304.1,371.5,448.8,518.4,531.9,596.1,588,635.4,747.9,802.4,830.6,857.9,910.6,961.8,972,934.9,983.2,1079.3,1184.2,1281.3,1399.7,1518.4,1664,1813.8,1964.2,1950.5,1885.5,1986.2,2193.8,2454.4,2608.9,2614.3,2488.4,2054.3,2103.8,2279.8,2533.2,2701.4,2937.1,3051.7,3109.8,3298.5,3537.9
2,Equipment,0.7,0.8,0.9,0.8,0.9,1.2,1.5,0.9,1.1,1.3,1.2,1.8,2,1.6,1.8,2.7,3.9,5.3,5.7,6.3,4.6,4.6,6.4,4.6,6.2,5.5,5.1,5.3,5.8,4.7,3.2,2,1.9,2.5,3.2,4.1,5.1,3.9,4.3,5.4,6.5,4.7,4.3,5.5,7.8,10.5,15.8,17.6,16.1,18.2,20.3,20.1,21.9,21,24,26.5,28.8,25.8,28.6,29.8,29.1,32.4,34.8,39.3,46.6,54,54.4,59.5,66.2,67.2,69.8,80,96.9,107.3,109.9,124.2,151.6,183.8,213.3,220.9,246.2,238.3,249.6,294.3,307.6,313,317.6,346.6,371.3,369.8,360.8,382,428.4,480.7,532.6,569.6,612,660.6,712.6,760.5,704.1,651.4,660.7,716.6,791.2,861.5,895.2,856.3,672,792.4,896.9,994.6,1033,1096.8,1113.5,1084.6,1135.2,1221.7
3,  Nonresidential equipment,0.7,0.8,0.9,0.8,0.9,1.2,1.5,0.9,1.1,1.3,1.2,1.7,2,1.6,1.7,2.7,3.9,5.3,5.6,6.2,4.5,4.6,6.3,4.5,6.1,5.4,5,5.2,5.7,4.6,3.1,2,1.9,2.5,3.1,4.1,5,3.8,4.2,5.3,6.4,4.6,4.2,5.5,7.8,10.3,15.5,17.3,15.8,17.8,19.9,19.7,21.6,20.6,23.6,26,28.3,25.3,28,29.3,28.6,31.9,34.2,38.7,45.9,53.3,53.7,58.6,65.2,66.1,68.5,78.4,95.2,105.5,107.9,122.1,149.2,181.1,210.1,217.6,242.6,234.7,245.4,289.6,302.5,307.5,311.8,340.6,365.1,363.8,355,376,422.3,474.4,526.2,563.2,605.7,653.9,705.4,752.8,696.2,643.4,652.4,707.6,781.6,851.4,885.3,846.7,663.2,783.2,887.2,984.1,1022,1085.5,1101.7,1072.4,1122.7,1208.8
4,      Information processing equipment,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.4,0.4,0.5,0.3,0.3,0.5,0.7,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.7,5.1,5.5,6.1,6.8,7.8,9.7,10.1,10.6,12.8,14.3,14.9,16.7,19.9,23.1,23.8,27.5,33.7,42.3,50.3,58.9,69.6,74.2,83.7,101.2,106.6,111.1,112.2,120.8,130.7,129.6,129.2,141.6,152.8,166.4,187.7,203.9,222.5,239.4,258.6,292.3,264.1,234.5,240.4,253.4,264.4,285.6,307.9,303,272.2,303.4,309.1,326.3,338.9,341.2,349.1,350.7,375.6,402.7
5,        Computers and peripheral equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,77.6,81.7,81.6,89.7,92.4,90.6,85.5,95.6,91.4,98.7,99.4,97.3,97,95,102.7,113.1
6,        Communication equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.3,0.4,0.7,0.7,0.6,0.7,0.9,1.1,1.2,1,1.2,1.4,1.7,1.5,1.8,2.3,2.7,3,2.9,3,3.5,4,4.2,4.6,5.7,6.5,6.6,6.6,8.1,9,9.3,10.6,13.7,16.8,20.3,24.2,27.2,28.9,29.5,34,37,39.1,39.2,43.7,43.6,45.2,43.7,46.2,48.7,56.8,63.5,70.8,80,87.1,98.7,123.3,109.1,83.7,82.2,84.9,86.5,96,106.2,100.1,85.8,99.9,103.6,104.8,111,113,117.3,118.6,128.1,132.5
7,        Medical equipment and instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,48.5,52.6,61.2,64,72.3,73.2,68.3,71.8,74.7,79.2,84.3,82.9,86.5,87.8,93.1,100.6
8,        Nonmedical instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.7,1.8,2.1,3.5,4.1,4.4,4.9,5.6,6.1,6.3,7.8,8.3,8.6,8.9,9.2,11.7,12.9,13.4,14.3,14.5,15.4,17,17.9,16.6,17,17.1,18.4,19.3,19.7,18.8,20.6,21.7,22.9,26,26.6,22.3,25.2,27.4,31.6,32.6,36.3,36.5,36.9,38.7,43.2
9,        Photocopy and related equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.9,1.1,1.4,1.2,1.3,1.5,1.7,2,2.5,3,3.5,4,4.4,4.3,5.2,5.5,6.4,7.2,7.4,7.3,9.1,8.8,9.3,9.7,10.7,11.7,11.4,12,12.6,14.5,15.3,14.2,13.6,12.6,12.7,10.7,9.8,6.7,4.6,5.2,5.2,4.9,4.2,6.5,7.4,6.1,7.1,8.2,8,7.6,7.4,7.4,8.3,8.5,8.8
10,        Office and accounting equipment,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.5,0.6,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1.3,1.3,1.2,1.2,1,0.9,1,1,1,1.3,1.3,1.2,1.4,1.2,1.1,1.3,1.9,2.6,2.3,2.7,2.8,4.2,5.2,5.7,6.1,4.7,7.6,8.6,8.3,9.7,6.3,5.6,6.1,5,4.6,5.1,5.6,5.7,5.8,5.9,5.8,5.1,3.7,3.9,4.8,5.2,8,8.3,8.5,8.8,4.4,5,4.1,3.9,3.9,4,4,4.3,4.4,4.1,4.4,4.5
11,      Industrial equipment,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.7,1,1,0.9,0.7,0.8,0.9,1.3,1.1,1.2,1.3,1.2,1.3,1.5,1.1,0.7,0.4,0.4,0.6,0.8,1.1,1.4,1,1.1,1.5,1.8,1.5,1.5,1.9,2.6,3.2,4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.1,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,91.7,101,112.5,127.8,135.5,139,145.7,147.3,160.8,149.7,139.4,141,141.7,159.6,178.6,191,191.2,151.2,152.6,188.3,207.5,205.8,218.6,218.3,214.9,230.5,245.7
12,        Fabricated metal products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.4,0.5,0.7,0.8,0.8,0.9,0.8,0.9,1.1,1,0.9,0.9,0.9,0.8,0.9,1,1.2,1.4,1.4,1.7,2.1,2.6,2.8,3,3.7,4.5,5.3,6.1,6.2,7.1,8.8,9.2,9.9,9.5,9.1,8.7,8.6,8,7.1,8,9,9.2,9.4,9.6,9.3,10,10.8,12.1,10.5,10.9,11.5,11.9,11.9,10.7,11.8,12.6,14.4,17.3,19.8,22.3,16.9,15.6,17.9,20.4,20,21.3,20.9,19.2,20.1,22.1
13,        Engines and turbines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.3,1.5,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.9,1.9,2.3,2,1.8,1.9,2.2,1.9,2.5,2.7,3.3,3.1,3.8,3.7,3.5,3.9,3.3,4,3.7,4.4,5.5,7.1,10.8,11.6,10.3,4.9,5.8,7.4,11.4,12.5,10.7,7.6,11.8,16.4,14.3,13.9,14.8,13.8,15.2,14.9
14,        Metalworking machinery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.6,0.6,0.5,0.5,0.6,0.7,0.8,0.6,0.4,0.7,1,1.1,1.4,1.6,1.3,1.8,1.9,1.2,1.3,1.5,1.4,1.6,1.9,2,2.6,3.3,4.2,3.9,4,4,3.1,3.7,4.9,6.1,6.1,6.4,7.2,9.3,11.6,13.3,14.1,12.2,9.3,11.3,12.5,13.1,12.5,13.9,16.7,16,15.7,16.9,18.6,22.2,26.3,27.3,29.6,29.9,29,29.8,25.4,23,22.7,23.2,26.1,27.6,28.5,29,21.1,20.9,27.4,32.4,32.3,34.3,35.1,33.2,35.6,37.8
15,"        Special industry machinery, n.e.c.",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.7,1.1,1.2,1,1.2,1.4,1.2,1.3,1.2,1.4,1.7,1.7,1.5,1.7,1.9,1.9,2,2.1,2.4,3.1,3.5,3.3,3.5,3.7,3.9,3.8,4.2,4.8,5.4,5.2,5.5,6.1,8.2,9.4,10.5,11.3,11.9,12.4,14.4,15.8,17.1,18.7,20.9,23.7,22.6,21.3,21.4,24,26.1,30.9,32.6,32.7,34.1,34.6,39.3,34.9,30.4,28.8,28.5,30.6,33.4,34.8,32.9,25.5,25.7,36.1,34.7,34.6,37.7,35.4,35.8,39.1,40.4
16,"        General industrial, including materials handling, equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.4,0.5,0.3,0.4,0.4,0.5,0.3,0.4,0.6,0.9,0.9,1.3,1.3,1,1.1,1.4,1.3,1.5,1.5,1.9,2.2,2.3,2.1,2.2,2.5,2.3,2.5,2.9,3.4,3.9,4.6,4.3,4.3,5,5.3,5.2,5.5,6.9,8.3,8.5,9.4,12,14.8,17.2,18,19,18.1,16.8,20.3,21.9,24.2,23.6,26,27,27.4,25.8,26.5,31.3,34.5,39.1,41.3,43.1,46.2,44.8,47.6,43.8,43.6,46.9,49.6,57.3,62.8,63.8,62.7,51.1,54.5,63.6,70.3,69.2,75.8,78,77.6,82.9,88.8
17,"        Electrical transmission, distribution, and industrial apparatus",0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.3,0.4,0.7,0.7,0.6,0.8,1.1,1.2,1.4,1.4,1.4,1.8,2,1.7,1.8,1.9,1.9,1.9,1.9,2.1,2.4,2.9,2.9,2.9,3.1,3.3,3.1,3.3,4,4.7,4.6,4.9,6.1,6.5,7.4,7.9,8.9,9,9.5,11.5,11.5,11.2,12.3,12.8,13.7,14,13.3,13.7,14.2,15.7,17.4,18.2,19.3,20.2,21.9,25,23,20.3,20.5,22.9,25.4,30,32.7,31.8,25.9,28.4,31.6,33.3,35.4,35.6,34.1,35.4,37.5,41.5
18,      Transportation equipment,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.2,0.3,0.3,0.7,0.9,0.6,0.7,1.1,1.7,2.8,3.3,4.1,2.7,2.7,3.6,2.1,3.4,2.4,2.1,2.2,2.3,2,1.4,1,1,1.2,1.4,1.7,2,1.5,1.7,2.1,2.4,1.5,1.4,1.5,2.1,3.3,5,5.4,5.7,6.4,6.5,5.7,6.5,5.7,7.1,6.9,7.9,6.5,7.8,8,7.5,9.4,9.1,10.2,12.9,14.3,13.9,17.3,18.4,15.3,17.4,21,25.6,25.2,24.2,29.2,38.2,45.4,51.5,45.6,48.1,44.5,50.8,60.2,61.8,58.4,57.2,64.7,59.4,60.7,64.8,70.4,86.2,105.1,112.8,119.9,129.5,141.8,168.3,160.3,143,129.7,120.2,146.2,168.4,183.5,178.3,139,65.2,128.5,171.8,209.3,229.6,256.7,287.7,273.7,263.8,287.9
19,"        Trucks, buses, and truck trailers",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.2,0.5,0.4,0.4,0.2,0.3,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.6,0.1,0.1,0.3,0.9,1.2,1.7,2.1,1.8,2.1,2.4,1.9,1.8,1.7,2.4,2.5,2.3,2.1,2.6,2.6,2.7,3.4,3.6,3.7,4.7,5.4,4.9,5.9,7.1,6.2,7.2,9.4,11.2,11.5,9.1,12,16.1,19.8,21.7,17,18,17.6,20.7,28,31.7,28.1,28.4,28.7,28,23.1,21.5,25.8,36.5,50,57.3,63.2,71.2,77.6,87.8,80.3,63.3,58.9,62.4,82.6,97.9,108.1,92.7,61.4,21.3,55.4,86.2,100,115.8,134.9,162.9,170.8,170.1,199
20,          Light trucks (including utility vehicles),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.1,0.1,0.2,0.4,0.5,0.6,0.7,0.6,0.8,0.9,0.7,0.7,0.6,0.9,0.9,0.9,0.8,1,1,1,1.3,1.3,1.4,1.7,2,1.8,2.2,2.6,2.3,2.7,3.5,4.1,4.2,3.3,4.4,5.9,7.3,8,6.2,6.6,6.5,7.6,10.3,11.6,10.2,10.3,11.5,10.2,9.1,9.3,9.7,14.5,24.8,28.3,37.5,47.4,47.7,53.6,50.7,42.4,37.6,41.6,54,63.1,69.7,62.9,36.5,2.2,30.5,52.1,60.1,74.1,88,108.4,126.5,124.7,142.1
21,"          Other trucks, buses, and truck trailers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.1,0.1,0.2,0.6,0.7,1.1,1.4,1.1,1.3,1.5,1.2,1.2,1.1,1.5,1.6,1.5,1.3,1.6,1.6,1.7,2.1,2.3,2.3,2.9,3.4,3.1,3.7,4.5,3.9,4.6,5.9,7,7.3,5.8,7.6,10.2,12.5,13.7,10.7,11.4,11.2,13.1,17.7,20.1,17.9,18.1,17.1,17.8,14,12.2,16.1,21.9,25.1,29,25.6,23.8,30,34.1,29.6,21,21.2,20.8,28.6,34.8,38.4,29.8,24.8,19.1,24.9,34,39.9,41.7,46.9,54.5,44.3,45.4,56.9
22,        Autos,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.4,0.6,1.2,2.1,2.7,1.8,1.7,2.2,1,2.2,1.2,1.2,1.2,1.3,1.1,1,0.8,0.8,0.8,0.9,1,1.1,0.9,1,1.1,1.1,0.8,0.8,0.7,0.6,1.4,1.9,2,2.5,3.1,2.5,2.2,3.1,3,3.6,2.6,3.2,3,3.2,3.3,3,3.9,3.6,3.8,4.8,4.5,4.2,5.7,5.9,4.4,6.5,7,7.9,7.3,7.7,10.2,13.3,14.9,14,11.8,14.6,14.7,19.7,21.9,19.8,18.5,16.3,22.2,18.6,21.1,25.9,26.8,31.1,40.1,35.8,37,35.3,35,41.2,37.9,36.4,36.5,30.1,31.5,37,41.6,42.9,30.4,11,31.8,38.2,55.7,54.8,52.9,53.1,42.7,28.9,22.5
23,        Aircraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.9,0.8,0.8,0.8,0.5,0.8,1.3,1.8,2.5,3.7,2.8,2.4,1.3,1.9,3,2.4,2.3,2.4,3.4,4.2,6.9,7.9,7.5,6.9,7,6.4,6.9,8.6,9.3,10,8,11.5,12.7,13.7,13.2,8.7,12.7,12.1,14.5,19.6,28.9,31.6,34.6,25.8,19.1,22.3,21.7,20.8,27.6,30.4,19.8,29.1,33,34.4,36.9,43.3,44.6,40.2,45.3,48.3
24,        Ships and boats,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.3,0.3,0.1,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.3,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.4,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9,0.9,0.9,1.1,1.7,1.6,2.3,2.3,2.5,2.6,3.2,3.5,4.5,3.1,1.9,1.7,1.3,1.5,1.8,1.6,1.5,1.6,1.6,1.2,2.1,1.8,1.8,2.3,2.7,2.8,2.9,3.5,3.2,3.8,4.2,4.8,4.8,4.5,6,7.4,6.8,6.2,5.9,6.5,8.1,8.2,9,7.1,7.5,6.6
